id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;entur_id;entur_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;trenord_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
8267;London;london;9900007;99000075;51.504692;-0.078460;;GB;Europe/London;t;f;f;t;f;f;GBLON;;t;;f;7096001;f;375dd5879001acbd84a4683dedf9eed1;t;GBLON;t;3848;t;;f;;f;;f;;f;;f;;;;;f;;f;;f;182;t;GBLWB;f;;f;f;;;;Londres;Londres;Londra;;Londen;Londýn;;;ロンドン;런던;Londyn;Londres;Лондон;;Londra;伦敦;urn:trainline:public:nloc:at001681;
8276;Manchester Piccadilly;manchester-piccadilly;7029680;70296806;53.476704;-2.228991;8350;GB;Europe/London;f;t;f;t;f;f;GBMAN;;f;;f;7001537;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;;f;;f;;f;MAN;t;GBMAN;f;;f;f;;;;;;;;;;;;マンチェスター;맨체스터;;;Манчестер;;;;urn:trainline:public:nloc:at001759;
